$,_ft,settlementdate,v#
QLD1,Black Coal,2021-09-22 13:55:00,3978.1763499999997
QLD1,Black Coal,2021-09-22 14:00:00,3992.8535
QLD1,Black Coal,2021-09-22 14:05:00,3996.47978
QLD1,Black Coal,2021-09-22 14:10:00,4002.8468500000004
QLD1,Black Coal,2021-09-22 14:15:00,4018.0649500000004
QLD1,Black Coal,2021-09-22 14:20:00,4060.9974800000005
QLD1,Black Coal,2021-09-22 14:25:00,4086.3294300000002
QLD1,Black Coal,2021-09-22 14:30:00,4096.74827
QLD1,Black Coal,2021-09-22 14:35:00,4127.34332
QLD1,Black Coal,2021-09-22 14:40:00,4106.401739999999
QLD1,Black Coal,2021-09-22 14:45:00,4117.97761
QLD1,Black Coal,2021-09-22 14:50:00,4140.88884
QLD1,Black Coal,2021-09-22 14:55:00,4181.0190999999995
QLD1,Black Coal,2021-09-22 15:00:00,4240.60435
QLD1,Gas,2021-09-22 12:00:00,304.872996
QLD1,Gas,2021-09-22 12:05:00,305.30108800000005
QLD1,Gas,2021-09-22 12:10:00,309.740946
QLD1,Gas,2021-09-22 12:15:00,301.215326
QLD1,Gas,2021-09-22 12:20:00,309.324746
QLD1,Gas,2021-09-22 12:25:00,307.818133
QLD1,Gas,2021-09-22 12:30:00,307.37958100000003
QLD1,Gas,2021-09-22 12:35:00,308.852845
QLD1,Gas,2021-09-22 12:40:00,307.003952
QLD1,Gas,2021-09-22 12:45:00,312.62140600000004
QLD1,Gas,2021-09-22 12:50:00,305.439005
QLD1,Gas,2021-09-22 12:55:00,312.03370299999995
QLD1,Gas,2021-09-22 13:00:00,308.31239500000004
QLD1,Gas,2021-09-22 13:05:00,314.299016
QLD1,Gas,2021-09-22 13:10:00,311.81925500000006
QLD1,Gas,2021-09-22 13:15:00,310.05266200000005
QLD1,Gas,2021-09-22 13:20:00,311.331096
QLD1,Gas,2021-09-22 13:25:00,310.66621000000004
QLD1,Gas,2021-09-22 13:30:00,313.38372200000003
QLD1,Gas,2021-09-22 13:35:00,308.89396
